datetime,symbol,open,high,low,close,volume
2025-01-01 23:00:00,COMEX:GC1!,2641.0,2641.4,2636.3,2636.3,1308.0
2025-01-01 23:45:00,COMEX:GC1!,2636.2,2640.4,2636.1,2640.3,1063.0
2025-01-02 00:30:00,COMEX:GC1!,2640.2,2645.4,2637.8,2643.1,3055.0
2025-01-02 01:15:00,COMEX:GC1!,2643.0,2647.5,2642.9,2645.3,3208.0
2025-01-02 02:00:00,COMEX:GC1!,2645.4,2648.6,2644.9,2645.6,2290.0
2025-01-02 02:45:00,COMEX:GC1!,2645.6,2647.7,2644.7,2645.5,1193.0
2025-01-02 03:30:00,COMEX:GC1!,2645.4,2646.2,2644.0,2644.3,830.0
2025-01-02 04:15:00,COMEX:GC1!,2644.4,2646.1,2643.2,2645.8,1137.0
2025-01-02 05:00:00,COMEX:GC1!,2645.8,2648.8,2645.1,2647.1,1439.0
2025-01-02 05:45:00,COMEX:GC1!,2646.9,2647.3,2643.6,2646.3,1582.0
2025-01-02 06:30:00,COMEX:GC1!,2646.4,2647.8,2645.4,2646.5,1298.0
2025-01-02 07:15:00,COMEX:GC1!,2646.5,2648.0,2644.7,2647.9,1390.0
2025-01-02 08:00:00,COMEX:GC1!,2648.0,2649.2,2642.6,2648.2,3694.0
2025-01-02 08:45:00,COMEX:GC1!,2648.2,2652.9,2647.7,2650.6,4390.0
2025-01-02 09:30:00,COMEX:GC1!,2650.7,2651.4,2644.7,2651.4,3486.0
2025-01-02 10:15:00,COMEX:GC1!,2651.4,2659.4,2650.6,2654.7,7930.0
2025-01-02 11:00:00,COMEX:GC1!,2654.8,2656.7,2652.8,2654.9,2703.0
2025-01-02 11:45:00,COMEX:GC1!,2654.9,2656.3,2653.2,2655.8,1867.0
2025-01-02 12:30:00,COMEX:GC1!,2655.8,2659.9,2650.6,2650.9,6704.0
2025-01-02 13:15:00,COMEX:GC1!,2651.0,2660.7,2648.2,2656.3,12698.0
2025-01-02 14:00:00,COMEX:GC1!,2656.2,2663.8,2653.2,2662.1,11371.0
2025-01-02 14:45:00,COMEX:GC1!,2662.4,2664.9,2658.5,2662.0,9546.0
2025-01-02 15:30:00,COMEX:GC1!,2661.9,2669.7,2661.6,2666.9,12114.0
2025-01-02 16:15:00,COMEX:GC1!,2666.9,2674.2,2666.7,2673.0,8304.0
2025-01-02 17:00:00,COMEX:GC1!,2673.0,2674.1,2666.5,2667.3,6872.0
2025-01-02 17:45:00,COMEX:GC1!,2667.5,2672.8,2666.4,2668.7,6375.0
2025-01-02 18:30:00,COMEX:GC1!,2668.7,2670.1,2667.5,2668.3,2176.0
2025-01-02 19:15:00,COMEX:GC1!,2668.4,2670.8,2667.5,2668.2,2391.0
2025-01-02 20:00:00,COMEX:GC1!,2668.3,2674.1,2667.7,2672.3,2471.0
2025-01-02 20:45:00,COMEX:GC1!,2672.4,2673.4,2671.1,2671.6,1883.0
2025-01-02 21:30:00,COMEX:GC1!,2671.5,2672.0,2669.9,2671.2,633.0
2025-01-02 23:00:00,COMEX:GC1!,2671.1,2673.0,2670.1,2672.5,652.0
2025-01-02 23:45:00,COMEX:GC1!,2672.5,2674.3,2670.8,2673.3,1698.0
2025-01-03 00:30:00,COMEX:GC1!,2673.4,2676.5,2672.4,2674.3,2307.0
2025-01-03 01:15:00,COMEX:GC1!,2674.3,2674.9,2670.9,2673.6,1825.0
2025-01-03 02:00:00,COMEX:GC1!,2673.5,2678.4,2670.3,2675.9,8307.0
2025-01-03 02:45:00,COMEX:GC1!,2675.6,2681.0,2674.5,2678.8,4047.0
2025-01-03 03:30:00,COMEX:GC1!,2678.6,2678.9,2676.6,2677.7,939.0
2025-01-03 04:15:00,COMEX:GC1!,2677.7,2679.4,2676.9,2678.1,689.0
2025-01-03 05:00:00,COMEX:GC1!,2677.9,2677.9,2674.2,2674.8,977.0
2025-01-03 05:45:00,COMEX:GC1!,2674.6,2675.5,2672.0,2672.5,2371.0
2025-01-03 06:30:00,COMEX:GC1!,2672.4,2675.4,2671.5,2672.2,1959.0
2025-01-03 07:15:00,COMEX:GC1!,2672.2,2672.3,2667.9,2669.6,3232.0
2025-01-03 08:00:00,COMEX:GC1!,2669.6,2671.2,2665.9,2667.4,3828.0
2025-01-03 08:45:00,COMEX:GC1!,2667.6,2670.5,2664.3,2668.2,4445.0
2025-01-03 09:30:00,COMEX:GC1!,2668.4,2671.0,2667.1,2670.9,1483.0
2025-01-03 10:15:00,COMEX:GC1!,2670.8,2672.3,2667.1,2672.0,2826.0
2025-01-03 11:00:00,COMEX:GC1!,2672.0,2673.5,2670.8,2673.0,1950.0
2025-01-03 11:45:00,COMEX:GC1!,2673.0,2673.4,2669.3,2669.7,2665.0
2025-01-03 12:30:00,COMEX:GC1!,2669.4,2671.5,2667.1,2669.3,2692.0
2025-01-03 13:15:00,COMEX:GC1!,2669.1,2670.3,2657.0,2664.1,11452.0
2025-01-03 14:00:00,COMEX:GC1!,2664.0,2667.1,2659.2,2665.3,7752.0
2025-01-03 14:45:00,COMEX:GC1!,2665.2,2665.3,2655.0,2656.5,9725.0
2025-01-03 15:30:00,COMEX:GC1!,2656.5,2661.5,2656.1,2657.4,4817.0
2025-01-03 16:15:00,COMEX:GC1!,2657.4,2657.5,2652.3,2653.4,5185.0
2025-01-03 17:00:00,COMEX:GC1!,2653.3,2656.3,2652.4,2654.4,3341.0
2025-01-03 17:45:00,COMEX:GC1!,2654.4,2655.9,2653.2,2654.9,3441.0
2025-01-03 18:30:00,COMEX:GC1!,2654.8,2657.2,2654.7,2656.1,2492.0
2025-01-03 19:15:00,COMEX:GC1!,2656.2,2656.6,2652.9,2653.3,1326.0
2025-01-03 20:00:00,COMEX:GC1!,2653.3,2654.0,2650.7,2651.8,1917.0
2025-01-03 20:45:00,COMEX:GC1!,2651.9,2652.6,2650.3,2651.0,1824.0
2025-01-03 21:30:00,COMEX:GC1!,2650.8,2653.8,2649.7,2652.7,1835.0
2025-01-05 23:00:00,COMEX:GC1!,2652.8,2655.2,2651.6,2654.9,1399.0
2025-01-05 23:45:00,COMEX:GC1!,2655.0,2655.1,2651.2,2651.9,1395.0
2025-01-06 00:30:00,COMEX:GC1!,2652.0,2658.3,2651.4,2658.0,2590.0
2025-01-06 01:15:00,COMEX:GC1!,2658.0,2661.0,2654.2,2654.2,2803.0
2025-01-06 02:00:00,COMEX:GC1!,2654.3,2658.3,2652.6,2657.0,1940.0
2025-01-06 02:45:00,COMEX:GC1!,2657.1,2657.9,2653.0,2654.5,1878.0
2025-01-06 03:30:00,COMEX:GC1!,2654.3,2654.3,2648.5,2650.1,1790.0
2025-01-06 04:15:00,COMEX:GC1!,2650.0,2650.9,2645.2,2646.8,3909.0
2025-01-06 05:00:00,COMEX:GC1!,2646.7,2647.7,2643.0,2644.5,3580.0
2025-01-06 05:45:00,COMEX:GC1!,2644.5,2646.9,2641.6,2642.5,2940.0
2025-01-06 06:30:00,COMEX:GC1!,2642.4,2646.3,2641.3,2644.7,3449.0
2025-01-06 07:15:00,COMEX:GC1!,2644.7,2644.8,2636.6,2638.7,4782.0
2025-01-06 08:00:00,COMEX:GC1!,2638.6,2642.7,2637.5,2639.8,3189.0
2025-01-06 08:45:00,COMEX:GC1!,2639.8,2647.7,2639.1,2645.0,4506.0
2025-01-06 09:30:00,COMEX:GC1!,2645.0,2646.5,2643.2,2643.4,1348.0
2025-01-06 10:15:00,COMEX:GC1!,2643.5,2646.9,2642.8,2645.8,2603.0
2025-01-06 11:00:00,COMEX:GC1!,2645.6,2663.8,2644.5,2663.0,11852.0
2025-01-06 11:45:00,COMEX:GC1!,2663.1,2663.7,2655.3,2655.5,6595.0
2025-01-06 12:30:00,COMEX:GC1!,2655.5,2661.7,2654.9,2658.7,5323.0
2025-01-06 13:15:00,COMEX:GC1!,2658.7,2658.9,2630.8,2634.5,21019.0
2025-01-06 14:00:00,COMEX:GC1!,2634.5,2641.0,2624.6,2634.6,17470.0
2025-01-06 14:45:00,COMEX:GC1!,2634.7,2651.9,2634.4,2651.0,15288.0
2025-01-06 15:30:00,COMEX:GC1!,2651.2,2651.6,2642.9,2648.0,5696.0
2025-01-06 16:15:00,COMEX:GC1!,2647.7,2652.7,2646.2,2652.2,4594.0
2025-01-06 17:00:00,COMEX:GC1!,2652.5,2652.6,2647.0,2647.3,2883.0
2025-01-06 17:45:00,COMEX:GC1!,2647.2,2650.0,2644.9,2647.6,4625.0
2025-01-06 18:30:00,COMEX:GC1!,2647.5,2648.0,2643.7,2645.0,2135.0
2025-01-06 19:15:00,COMEX:GC1!,2644.7,2646.6,2644.2,2645.6,883.0
2025-01-06 20:00:00,COMEX:GC1!,2645.5,2646.2,2643.7,2645.1,1481.0
